Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,6,171,0.0,0.02,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
11,232.00945254,6,274.53490791,206,8064,0.0085,0.019,3.4,0.0,Feb,1,2,1,3,Returning_Visitor,False,True
0,0.0,0,0.0,27,1029,0.0,0.009,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
2,57.1102586,0,0.0,18,759,0.0128,0.04,80.6,0.0,May,3,2,7,4,Returning_Visitor,True,False
0,0.0,0,0.0,8,173,0.0116,0.1,0.0,0.2,May,2,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,4,9,0.0,0.067,0.0,0.0,Jul,2,4,1,5,New_Visitor,False,False
0,0.0,0,0.0,25,1718,0.0191,0.035,0.0,0.0,Nov,2,2,1,20,Returning_Visitor,False,False
1,6.34260563,1,0.0,13,618,0.0296,0.032,0.0,0.0,Nov,4,1,2,20,Returning_Visitor,True,False
22,199.88925845,0,0.0,50,1078,0.0254,0.035,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,3,0,0.2,0.2,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,37,5106,0.0,0.03,0.0,0.0,Nov,2,5,3,2,Returning_Visitor,False,False
20,80.48047926,0,0.0,90,6070,0.0021,0.003,0.0,0.0,June,2,7,1,2,Returning_Visitor,True,False
2,139.18424476,0,0.0,16,715,0.0,0.012,0.0,0.0,Nov,3,2,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0,0.2,0.2,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,13,224,0.0149,0.039,0.0,0.0,Mar,2,5,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,3,189,0.0,0.05,0.0,0.0,May,1,1,3,2,Returning_Visitor,True,False
23,369.41177468,4,940.86062601,97,3932,0.0127,0.029,2.6,0.0,Nov,1,1,3,1,Returning_Visitor,False,True
0,0.0,0,0.0,6,228,0.0,0.05,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
23,579.88484908,2,34.85347862,62,2739,0.004,0.01,35.8,0.0,Nov,1,1,7,2,Returning_Visitor,False,False
12,752.7700661,0,0.0,123,2485,0.0074,0.015,2.5,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
1,55.12848546,0,0.0,13,896,0.0,0.014,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,14,143,0.0405,0.088,0.0,0.0,June,2,2,9,1,Returning_Visitor,False,False
0,0.0,0,0.0,17,804,0.0,0.028,0.0,0.0,Dec,2,2,1,2,New_Visitor,True,False
0,0.0,0,0.0,17,329,0.0213,0.053,0.0,0.8,May,2,4,5,3,Returning_Visitor,False,False
0,0.0,0,0.0,17,391,0.0,0.027,0.0,0.0,Mar,2,2,4,2,Returning_Visitor,False,False
0,0.0,0,0.0,8,187,0.0,0.044,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
2,155.88758892,1,3.7910174,66,3617,0.0166,0.034,15.2,0.4,May,1,1,6,3,Returning_Visitor,False,False
